traj_id,time,lat,lon,grid_x,grid_y,grid_id
1399190091620000213,0,41.150286,-8.607096,201,561,20100561
1399190091620000213,1,41.150214,-8.607123,201,561,20100561
1399190091620000213,2,41.150223,-8.607105,201,561,20100561
1399190091620000213,3,41.150079,-8.607168,201,561,20100561
1399190091620000213,4,41.148873,-8.607771,200,560,20000560
1399190091620000213,5,41.148612,-8.607213,201,559,20100559
1399190091620000213,6,41.148252,-8.606034,203,559,20300559
1399190091620000213,7,41.147784,-8.604495,204,558,20400558
1399190091620000213,8,41.147397,-8.602767,206,558,20600558
1399190091620000213,9,41.147586,-8.601975,207,558,20700558
1399190091620000213,10,41.148828,-8.602065,207,560,20700560
1399190091620000213,11,41.148828,-8.602083,207,560,20700560
1399190091620000213,12,41.148819,-8.602119,207,560,20700560
1399190091620000213,13,41.149296,-8.602092,207,560,20700560
1399190091620000213,14,41.151213,-8.602263,207,562,20700562
1399190091620000213,15,41.152824,-8.602371,207,564,20700564
1399190091620000213,16,41.154768,-8.602551,207,566,20700566
1399190091620000213,17,41.156622,-8.602182,207,568,20700568
1399190091620000213,18,41.158314,-8.601507,208,570,20800570
1399190091620000213,19,41.158818,-8.601309,208,571,20800571
1399190091620000213,20,41.158836,-8.601336,208,571,20800571
1399190091620000213,21,41.159007,-8.601219,208,571,20800571
1399190091620000213,22,41.160357,-8.600715,209,572,20900572
1399190091620000213,23,41.161185,-8.600364,209,573,20900573
1399190091620000213,24,41.161167,-8.600319,209,573,20900573
1399190091620000213,25,41.161464,-8.601138,208,573,20800573
1399190091620000213,26,41.161761,-8.603487,206,574,20600574
1399190091620000213,27,41.161797,-8.603739,205,574,20500574
1399190091620000213,28,41.161851,-8.603721,205,574,20500574
1399190091620000213,29,41.161932,-8.604891,204,574,20400574
1399190091620000213,30,41.162202,-8.606835,202,574,20200574
1399190091620000213,31,41.16303,-8.606592,202,575,20200575
1399190091620000213,32,41.165109,-8.606313,202,578,20200578
1399190091620000213,33,41.167872,-8.606448,202,581,20200581
1399190091620000213,34,41.170356,-8.605404,203,583,20300583
1399190091620000213,35,41.17248,-8.604396,205,586,20500586
1399190091620000213,36,41.172993,-8.607276,201,586,20100586
1399190091620000213,37,41.174397,-8.610822,197,588,19700588
1399190091620000213,38,41.174298,-8.615205,191,588,19100588
1399190091620000213,39,41.173731,-8.619714,186,587,18600587
1399190091620000213,40,41.173299,-8.62389,181,587,18100587
1399190091620000213,41,41.172786,-8.628507,175,586,17500586
1399190091620000213,42,41.171868,-8.632881,170,585,17000585
1399190091620000213,43,41.170851,-8.63685,165,584,16500584
1399190091620000213,44,41.16861,-8.640297,161,581,16100581
1399190091620000213,45,41.16645,-8.643375,157,579,15700579
1399190091620000213,46,41.16528,-8.645886,154,578,15400578
1399190091620000213,47,41.16438,-8.648289,151,577,15100577
1399190091620000213,48,41.163741,-8.649378,150,576,15000576
1399190091620000213,49,41.162058,-8.649837,149,574,14900574
1399190091620000213,50,41.161527,-8.650143,149,574,14900574
1399190091620000213,51,41.161509,-8.650161,149,574,14900574
1399190091620000213,52,41.161518,-8.650161,149,574,14900574
1399190091620000213,53,41.161536,-8.650611,149,574,14900574
1399190091620000213,54,41.161941,-8.653104,146,574,14600574
1399190091620000213,55,41.162247,-8.655138,143,574,14300574
1399190091620000213,56,41.162292,-8.655444,143,574,14300574
1399190091620000213,57,41.161392,-8.657334,140,573,14000573
1399190091620000213,58,41.160312,-8.659872,137,572,13700572
1399190091620000213,59,41.159322,-8.662401,134,571,13400571
1399190091620000213,60,41.158494,-8.664516,132,570,13200570
1399190091620000213,61,41.158917,-8.665623,130,571,13000571
1399190091620000213,62,41.160114,-8.666478,129,572,12900572
1399190091620000213,63,41.161365,-8.667216,128,573,12800573
1399190091620000213,64,41.16105,-8.668323,127,573,12700573
1399190091620000213,65,41.16123,-8.67042,125,573,12500573
1399190091620000213,66,41.161239,-8.671941,123,573,12300573
1399190091620000213,67,41.16033,-8.674218,120,572,12000572
1399190091620000213,68,41.159322,-8.676576,117,571,11700571
1399190091620000213,69,41.158503,-8.678565,115,570,11500570
1399190091620000213,70,41.158161,-8.679096,114,570,11400570
1398928351620000092,0,41.159133,-8.638533,163,571,16300571
1398928351620000092,1,41.15907,-8.63856,163,571,16300571
1398928351620000092,2,41.159007,-8.63856,163,571,16300571
1398928351620000092,3,41.158845,-8.638614,163,571,16300571
1398928351620000092,4,41.158908,-8.638605,163,571,16300571
1398928351620000092,5,41.158998,-8.638569,163,571,16300571
1398928351620000092,6,41.15907,-8.638479,163,571,16300571
1398928351620000092,7,41.159079,-8.638443,163,571,16300571
1398928351620000092,8,41.159088,-8.638407,163,571,16300571
1398928351620000092,9,41.159097,-8.638389,163,571,16300571
1398928351620000092,10,41.159124,-8.638371,163,571,16300571
1398928351620000092,11,41.159124,-8.638398,163,571,16300571
1398928351620000092,12,41.159151,-8.638317,163,571,16300571
1398928351620000092,13,41.159151,-8.63838,163,571,16300571
1398928351620000092,14,41.159169,-8.638416,163,571,16300571
